"","ZMYND8","TPCN1","HEG1","HACE1","LDLR","MOCS1","KIR2DS2","ACADM","PIK3IP1","PBRM1","TBC1D15","DBNDD1","ZFP64","GALNT12","UBALD1","ARHGAP9","LSS","LOC100133227","LOC100131066","LOC100130899","N4BP3","LINC01531","LOC100507281","CREB3L2","ERMP1","NEK1","PIAS3","BICDL2","GPM6A","ZBTB8A","ABCC5","BMPR2","ZXDC","RAMP1","HEMK1","NMRK1","RPL5","PSME2","SCD5","KMT2A","RGS16","CD38","SHOX2","FAM189B","PPM1M","PADI2","TROAP","IFI6","DDX46","USP18","CST7","DHRS1","LITAF","CDK2AP2","POF1B","HPGDS","NTN5","SH2D1B","SORD","RBMY2FP","TRGV7","BTRC","MLC1","FITM2","RPS10P7","CENPC","FBXL2","ALDH6A1","MTMR1","SPEM1","TRGV5","XK","RBM45","NPL","ADHFE1","LDHD","SMAD6","ANAPC4","MRAP","PRF1","AUTS2","COA6","ASPH","KLHL10","NECAB1","MGC4771","TPSD1","CRYBB2","CSF2RB","TRBV19","HIST1H3G","ING1","CCL23","IL18R1","WASHC1","PCDHB2","YIPF7","MGARP","MAP3K8","ABCD2","BANF1","IFT74","AGMO","LIN54","OAS3","RB1CC1","ZMYND11","HK2","IL2RG","NAGA","KRT2","PMS1","AGTR2","ZNF818P","CDY2B","PRY2","CDY1B","ZSCAN2","AGPAT4","HERC4","CTSL3P","ACR","ACTN2","CDK8","CREBL2","ACAA1","ARNT","AUH","CAT","CCR3","ATF2","FCER1A","GNAL","INSM1","ITGA5","MTAP","ODF2","OVGP1","SERPINB2","PHB","POU2F1","PPP1CB","PTPN9","ATXN2","SELPLG","TGIF1","UNG","ZNF133","ADAM12","HIST1H3H","CD83","CD163","SEMA4F","CDH1","EPRS","FOXA3","NAIP","STK17A","SPTLC2","MTOR","PLA2G7","CCS","GRK3","HCLS1","DMXL1","SMO","AKAP9","RNF41","MPHOSPH6","SMAD7","GZMA","PPP2R5D","FBLN5","TBL3","RELB","PDIA5","TKTL1","PITPNC1","IKBKE","SLC25A13","CADM1","CLDN15","UBE3C","PIEZO1","RNF144A","SNX19","KIAA0141","NCAPD2","POLA1","TCP11L1","PPP3CB","CAPN3","ZNF767P","PCDHGA6","OMA1","APOL1","RNF135","ZDHHC16","HNRNPA3P1","ABCG1","SKIL","KIR2DL4","LOC401957","EEF1B2P5","LOC439962","LOC643654","LOC644193","RPL37AP8","LOC644590","LOC645529","FAM90A22P","PHKA1P1","RPS28P4","LOC646543"
"ZMYND8",0,-0.103682003142598,-0.055823232650937,0,0,0,0,0,-0.0148426187887431,0,0,0,0.0219304299156801,0,0,0,0,0,-0.0613356147609371,0,-0.0757011077914621,0.057540780192848,0,0,0,0.0331897230222566,0.03942607260796,-0.0778657861308068,0,0.109006343783672,0.087935256286147,0,-0.069274580330914,-0.0642081593800422,0,-0.0482336273438129,-0.0076358890807835,0.0822425226419598,0,0,-0.0489637242297356,0.000502640399729204,0,0,0,0,0.0732194366712177,-0.0376238975451123,-0.0742852016383074,0,-0.0356707129431695,0,-0.0299558976983657,0,0.0407898839905613,0,-0.0506597893582294,0,0,0,0,0,-0.0544001898368259,0.0635507015897028,-0.0285379882588304,0,0.0144261793968204,0,0,0,0.0684898167254328,0,-0.104528016586546,-0.0365365095551792,0,-0.0494439032208945,0,0,0,-0.0201351696050899,0,0,0,0.00832048601712264,-0.0361518629548491,-0.0404943231401281,0,0,0,0.0108154881436203,0,0,0.0272326162529391,-0.0186890044719018,-0.0315411977394565,0,0,0,-0.000205708904886725,0.0127963091681273,0,0,0,0,0,0,0,0,0,0.0915891715336481,0.0528362880884521,0,0,0,0,0,0,-0.0324949809920186,0.147435256898146,0,0,0,0,0,0.0219043933179565,-0.0639255328790334,0,0.0491731488891536,0,0.0548919468782374,0,0,-0.0808792902409816,0,-0.0474183789035772,0,-0.00573037620265162,0.0878961973933519,-0.0448488816731866,0,0,-0.0292700042517747,0,0.0823682920582351,0,-0.101025079487077,0,0,0,-0.0111672579893624,0,0.105792944175855,0.0716123636738924,0,-0.0554194633611889,0,0,-0.0119901780945245,0,0,-0.0560805160572042,0,0.0206650267789964,0,-0.00190157929254609,0,0,-0.00715880480134707,-0.0208974925999837,-0.0117869125399127,0,0,0,0.074801606013239,-0.0216544312640105,0,0.00680173910714452,0,0,0,0,0,0,0.0563076829894128,0,0,-0.00408635656818307,0,0,0.0136053504224798,0,0.0454973266096543,0.0558451107944216,0,0.0526120782073598,0,0,0,0,-0.0095374984309227,-0.033110782630604,0,0,0,0.0734900006687097,0,-0.00837332739979416,0.0458107126975309,0,0,0.0541070031141652,-0.0292068177817945,0,0
"TPCN1",-0.0735323781818711,0,0.0571066953347701,0,0.00883090453174729,-0.0492952399715267,0,0,0.0338682951867455,0,0,0,0,0.0428295643814605,0,0.00920671222342111,0,0,0,0.0342907827258792,0.0391598474256328,-0.0186723896093705,0,0.0982829968751968,0,0,0.00663156956073673,0,0,0,0,0,0.0440437442441811,0,0.0232971476493044,0,0,-0.0105282384498805,0,0,0,0,0,0.0551720238474699,0.174427013989425,0.0648508603646563,-0.0110893269979241,-0.048864445884701,0.0533900767950992,-0.0184442216301754,-0.0773757772445935,0,0,0.0476342592606811,0,0,0.0315835758932521,-0.0660924313431163,0,-0.0229794083071742,0,0,0,0.0924809877335691,0,0.0151343885302243,-0.01584529272605,0,0.0253512456799075,0,0,0,0,0,0,0,0,0.00394771979837182,0.0191524712121456,0.020084855880916,0.0418798656156056,0,-0.0147312160683446,0,0,0,0,0,0.0329523465536761,0,0.068210740860391,0,0,0,0.04979984365645,0,0,0,0,0,0,0,0,-0.0624894742180025,0.0554119907192364,-0.0183815068885873,0,0,0,0.0589292615562297,-0.0209245133912473,0,0,0,0,0,0,-0.0489112211429862,0,0,0,-0.0906218212970939,0.010600318427439,0,0,0.14684333136757,0,0,0.00232854467897651,-0.0167550671041863,0,0.0876309342889941,0,0,0.0428762279135603,0.0254974027840562,0.0746176060680274,0,-0.0432664829766408,0,0,0,0,0,0,0,0,0,0,0.0283951668393659,0,0,0,0,0,0.0634964616944458,0,-0.0304494100208669,0,0,0,0.0406974915139147,0,0.0532436214230263,0.00257495480544156,-0.0975326370851299,0,-0.0837228292135293,0,0,-0.0247568244090203,0,0,0.0154075073275449,0.0392348312673777,0.0265123582208007,0,0,0.0609895541241428,0,0,0,0.0498492302525322,0.162468356940063,0,0,0.032720583604685,-0.0736160571641205,0,-0.0364214603654793,0,0,-0.0171995891320465,0,0,0.0119558949063827,0.0542522546096838,0,0.01146912207161,0.0676360551052519,-0.0277603260398449,-0.0364390777130355,0,0,-0.0617711384227202,0,0,-0.0333604245839261,0.112637934941074,0,-0.00678153383663304,0,0,-0.0247381582372307
"HEG1",-0.0210356484198247,0.0153870946313576,0,0,0.0837735291243153,0,0,0,0.0336310247353511,0.175729004351496,0,0,0,0.0606202767199941,-0.175331203942843,0,-0.0203919919277819,0,0,0.00177215752133741,0,-0.0433689993182917,-0.0187915672471896,0.0317705697326474,0.010188791615804,0,0,-0.0636576681565491,0,0.0463910904959097,0,0.0289721910224136,0,0,0.0131328352531392,0,0,-0.0036662073297524,0,0,0,0,0,0,0.0331941180722228,0,-0.0368137146133622,0,0.0959109428595676,0,0,0.0638546702521029,0,0,-0.0428753693005118,0,0,0.0315337850165287,0,-0.050360688268338,0,0,0,-0.0569033639952211,0,-0.0643063798398981,-0.0345408478486254,0,0,0,0,0,0,-0.032600954887424,0,0,-0.115521020869889,0,0,0.0841863876270933,0,0,0,0,-0.00838674910565407,0,0,0,0.0250587023348518,0.0584450735919289,0,0,-0.0129517570461374,0.0127291247522637,0.0826805578445615,-0.0733623959828734,0,0,-0.0516867599648288,0,0.0309874856981925,0,0,-0.0660854447778151,0.0193414835953323,0,0,0,0,0.049064803561452,0,-0.0521578833279703,0,0,-0.155753176969072,0,-0.116891074100848,0,0,0,-0.0104418462294098,0,0.00264611673089441,0,-0.00724229949840426,0.0101379023958052,0,0,-0.0532426068861999,0,0,0,0,0,0.00769049152241075,0.0207393363912121,0,0,0.0831025887735371,0,0,0.0516161421973372,0,-0.0704397621988235,0.0240706938054579,0,0,0.0223755646574031,0,0,-0.0567854464085452,-0.0475934685551683,0.0290417219077546,0,0.0100825784845668,0,0.0286586470143445,0,0,0,0,0.0562141910152974,0.0292239862055041,0,0.00977179564393705,0,-0.0698179002323166,0.230379436926718,0,0,-0.0451252937931732,0,0.0796710161782085,0,0,0.0773915506181631,0.043785132518737,0,0,0.0428757234854814,0,0,0,-0.0307176698033481,0.0351044076072552,-0.0664839407832579,0,0,0,0.0467013132998159,0,0,0,-0.00863971623676704,0,0.0984456173373629,0.0208196545769293,0.00803574719360432,0,0.0265383327192927,0.0371365749937671,0,0,0,0,0,-0.0131581562585346,-0.0612367021187956,0,0,0,0,-0.0150872707351871,0.0485686569779877
"HACE1",0,0,0,0,0,0,0,0,0,0,0,0.0201729892263235,0,0,0,0.020887343519223,0,0,0,-0.0448974544305717,0,-0.0359274329580712,0,0,0,0.309019713706399,0,0.0225688883615746,0,-0.0306280115458692,0,0.0199825625892922,0.0729878080242736,0,0,0,0,0,-0.0151478406380145,0,0,0,0,0,0,0,0.0105921495969623,-0.0100291134933459,0,0,0,0,0,0,0,0.0364734959202151,0,0.0164918129621786,0,0,0.281318746400567,0,0,0.0929767780307819,0,0,-0.0222542050100964,0.0294312136598116,0,-0.0985463626697752,0,0,0.0139956943321509,-0.0400615458051604,0,0,0,0.0473884357789496,0,0,-0.0339265971471455,0,0,0,0.089891514563796,0,-0.0458048942031415,0,0.0293892140733461,0,0,0,0,0,0,0.0171282502575439,-0.00232364479975087,0,0,0.0513108624120135,0.0147120110087726,0.00745602868296752,0.211951591020344,-0.0523411974331809,0,0,0,0,0.0294407451051706,0.00150018976957335,0.0155879534175031,0.126826159038716,0,0,0,0,0.00596436402170758,0,0,0,0,-0.00722610707375829,0,0,0.00327198771563061,-0.0199931742304651,0.0349664457339301,0.0451293045858659,0,-0.0822739015627175,0,0,-0.0540553944908733,0,0,0.000235310541684965,0,0,-0.0247087347291634,0,-0.00363881058380911,0,0.0334616550024059,0,0,0,0,0,0,0,0,-0.0524684566544054,0,0.0124009029905207,0,0,0,0,0,0,0.00108528735337929,0,0,0,0.0691313473980726,-0.0366455600129569,0,0,0.0498468569843715,0,0.0263568853026456,0,0,0.0298962172887945,0,0,-0.0637435045464599,0.0176477476130948,0,0,0.0387753072528501,0,0,0.0418597879533547,0.00145609735636728,0.0675883767730814,0,0,0.0412518519949983,-0.037462853006595,0.0106334169670617,0,0,0,0.0391885147237786,0,0,0,0.0128588499304448,0,0,0,0,0,-0.0357694145079858,0,0,0,0,0,0,0,0.0177734478340193,0
"LDLR",-0.0352807974212839,0,0.123088621031822,0,0,0,0,0,-0.0488270373902474,0,0,0,0,0.0298557270932542,-0.0918043313190721,0,0.126490121884388,0,-0.00159119846201249,-0.0158346590030285,0,-0.0466922008008777,0,0,0.0239771693532219,0.0538925778916739,0,-0.00564849831169978,0,-0.0206223404386779,0.0167989804026166,0.0173972647365054,0,0,0,0,0,0,0,0,0,0,0,0.0427940270388437,0,0,0.0259310330919002,0.0531120771431449,0.0627173161977767,0,0,0,0,0,0,0,-0.0329476698439192,0,0,0,0,0,0,-0.0072770143809725,-0.0426584052789916,-0.0516443399622531,0,0,0,0,0,0,0.0540561008688385,-0.0269207847520093,0,0,0,0,0,0.0680022174686934,0.0150318298404195,0,0,0,-0.0448542225059887,0,0,0.0975023236341353,0.0765329779956637,0,0,0,0,0,0,-0.0630508978710907,0,0,0.0197053089672017,0,0.00123081214506356,0,0,-0.0459259074862176,0.0280471351634313,0,0,0,0.0688967256820555,0,0,0,0,0,0,0,0,0,0,0,0,-0.010594526882437,0,-0.0686382560762803,0,0,0,0,0,0,-0.011137321148079,0,0,0,-0.0183705316069775,-0.0219226290826689,0.0330068964484959,0,0,0,0,0,0.0751778055641971,-0.0269315707983671,0,0,0.0109857680845752,0,0,0,0,0,0,0,0,0,0,0,0,0.0103428119157093,0,0,0,0.0497144699595993,0,0,0,0,-0.0111165435629124,0,0.0686696386343114,0.0616545566360188,0,-0.0556248230959105,0.0174577986432881,0.198159900571935,0,0.00418900026768704,0,0,0,0,0.0387924850920954,0.0306582156869991,0.0128465278026585,0,0.0258305666898256,0.0456665705270357,0,0.040070095596518,0,0,0,-0.119493066064786,0,0,0,0.00414325514222163,0,0.0593851237307908,0,0,0,0,0,-0.020099906198919,0,0,0,0,0,0,-0.0630150799541612,0
"MOCS1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00627880035739586,0.0689989001156767,0,0,0.0846887667489441,0,0,0,0,0,0,0,0.00355415082407557,0.0710847274359208,0.0481708734896037,0,0,0,0,0,0,-0.00428347294116661,0,0,-0.00368454833880305,-0.043555069415524,-0.0129738128600207,0,0,0.012182145615043,-0.0162315230099365,0,0,0.0414680843357839,0,-0.0330145957145177,0,0.0218171442486847,-0.0448524364354975,0,0.0155762011690265,0.0619549536902242,0.094226485872423,0.0691290634109589,0.0281436350474707,0,0.0300712935125091,-0.0119052986556384,0,0,0,0,0.0293148504135455,0,0.0323166694675638,0,0,0,0,-0.101858315722922,-0.0438136949969945,-0.0391161918112544,0,0.0473452559499421,0,-0.066787354492756,0,0.0913263433046609,-0.0600814261108965,0.068630130508333,-0.0514904581328239,-0.106161873681326,0,0.0259380017548153,0,0,0,0,0.0458406470091971,0.0041060048625731,0,0,0.0757781613735482,-0.0108357904490092,0,0,0,0,-0.00746252119772129,0,-0.0692255009447264,-0.0248573575669779,0,0,0,0,0,0,-0.0336475621880659,0,0,0,0,0,-0.0384185833069885,0,0,0,0.075617271227231,0,0,0,-0.0541794056091216,-0.0584881396879477,0,0,0,0,0,0,0,0.00336473071355681,0,0,0,0,0,-0.0193109965926496,0,0,0,0.100788557517491,0,0,0,0,0,0,0,-0.0306309047059301,0,-0.0298857418652481,0.211843571463771,0,0,0,-0.0162612990304357,0,0.104848632615577,0,0,0,0.0896490854604926,-0.0209779327400998,0,-0.100732630543307,0,0,0,0.00253709331832359,0.0346206044277615,0,0,-0.0753877701698974,-0.00108180512949962,0,0,0,0,0,0,0,0,-0.0417760164681434,0,0,-0.0335780374162147,0,0,0.0710730640722568,0.0319743918591689,-0.0171042729137188,0.0110725155861167,0,0,0,0,0,0.00365579408700057,0,0,0,0.0869901076319221,0.119571754695015,0,0,0.047851374874181,0,0,0,-0.0127468497405988
"KIR2DS2",0.0543719501412618,0,0.0730812709239113,0,0,0,0,-0.0516203511102564,-0.0614426105268865,0,0,0,0.018773271565409,-0.0469599508684369,-0.0354923349851623,-0.0203362065805943,-0.0664677949499684,-0.0033539904963002,0,0.0329897046769547,0,0,0.0239378749415511,0.110958355810591,0,0.0133694176096631,0,0,0,0.0368517308806118,-0.0435210898906024,-0.0618019517515739,-0.0351523072687422,0,-0.0375775812963084,-0.0520539865823187,0,-0.0340684086913722,0.0767794256180147,-0.0233844738827275,0,0,0,0,-0.0374694824324556,0.084481836008749,0.0297308671110952,-0.0780652025050165,-0.0259514747540469,0,0.178405488654552,0,0,0,0.0185258740022301,0,0,0.053278601628399,0,0,0,0,0,0.00201091135217777,0,-0.0241170587125559,0,0,0,0,0,0,0,0.00392054871585467,-0.0731757795356154,0,0,-0.0275972782693891,0,-0.0212520126623774,0.0691402295238938,0,0,0.0290772918754534,-0.0478304604378523,0,0,0,-0.0919905850535597,0.0671463725992472,0,0,0,0,0.0413713964728943,0.0611429280118492,-0.0371863806079414,0,0,0,-0.0432152609282865,0,0,0.0441594157516219,0,0,0,0,-0.0231478558191731,0.0199627067479001,0.0417591862560019,-0.0358264986490864,0,0,0,0,0,0.0251280421455423,0,-0.136524127179828,0,0,0,0.0660198361739517,0,0,0,-0.0544734782393321,0,0.00850682300075182,0,-0.0030546925970073,0.0777551927591192,0,0,-0.0251173288962832,0,-0.0160253733664163,0,0,0,0,0,0.0183550516484383,0,0,0,0,0.00864819783287878,0,-0.0182731626803137,0,0,0,0,0,0,0,-0.0419590231072703,0,0,0,0,0,0,0,0,0.0509279260550817,0,0,0,-0.0673040093969531,0,-0.134550557288549,0,0,0,0,0,0,0,-0.0895908559963979,0,0.024769222790019,0,0,0,0.0337022896714363,0,0.0654592363725054,0,0,-0.0629786650018994,0,0,0,0.0372935240556979,-0.0296423428440826,-0.0143740487194751,0,0,0.722307951527852,-0.0532913890502445,0.0282540690869816,0.0475954095413094,0,0.0245402860518031,0,-0.0715446914830191,0,0.0488683496383224,0.00273801945342508,0,-0.0504473147027575
"ACADM",0,0,0,0,0,0,-0.186098923746735,0,0,0.0125930367408861,0,0,0,0,-0.254019716729304,0.0312952187095134,0.144212292636517,0,0,0,0,0,0,0,0,0,-0.114991819673354,0,0,0,0.0603504719801355,0.0284426737327313,0,0,0.139733927248446,0,0,0.0297050948224064,0,0,0,0,0,0,0.039704339503795,0,0,0,0,0,0.0481570673861176,0,-0.0539110633053514,0.0705564890323844,0,0,-0.0465810336685169,0,0,0,0.00577594817230359,0,0,0,0,-0.0261311038252185,0,0.00079515382982425,0,0,0,0,0,0.057496509474314,0,-0.113696233057319,0,0,0,0,0,0,0,-0.0209215222778935,0.131179837836708,0,0,0,0,0,0,0,0,0,-0.173924143277945,-0.0841099320929151,0,0,-0.0659969882478714,0.0479804553719081,0.0540933617045177,0,0,0,0,0,0,0,0,0,0,0,0,0.00591183800626857,0,0,0,0,-0.0949268932375965,0.0499140415839673,0,0,0,0,0.262833432465005,0.0944136499699493,0.0414982708626153,0.093402136943241,0,0,0,0,0,0,0.0875247939606052,0,0,0,0,0.032930666885742,-0.0158447412982152,0,0.0342821571038385,0,0.0826454246265692,-0.0265474429370646,0,0,0,0,0,0,0.0408088711185579,0,0.0529328715411614,0,0,0,0.145680657112546,0,0.0557706743992869,0.0346981167407767,0,0,0.0910063261860148,0,0,0.0509088488874937,0.0879353621353159,-0.0223842594295302,0,0.082963717624853,0,0,-0.0453634598749901,0.0185521472309995,0,0.0328700723768339,0.0510032712347239,0,0,0.0425977577567791,0.0607063989382472,-0.0491896750773397,0,0,0,0,0,0,0.0318871641070361,0,0,0,0.0749785606723904,0.0970243906596328,0,0.0810413459201801,0,0,0,-0.183188925354759,0,0,-0.0161724727946903,0,-0.0089337399319641,0,0,0,0,-0.0942099834661775,0,0
"PIK3IP1",-0.0853950134291319,0,0.140917809268988,0,0,0,-0.159008465712481,0,0,-0.00433825672297778,0.0569723656129141,0,0,0.0186240707593187,-0.0703503820101955,0,0,0,0,-0.0131960759571747,0,0,0,0,0,0,0,-0.0674454278964322,0,-0.0840936535319585,0,0.0391328027981094,0,0,0,0,0.27253174254883,0,0,0.0648418755035018,0,0,0,0,0,-0.041456703830177,0,0,0.0520629527559033,0,-0.26515062339184,0,0.0486764797713727,-0.0446522543575238,0,0,0,0,-0.0544073211167377,-0.0226522769726618,0,0,0,-0.101711143757364,0,-0.0829470653188301,0,0,0,0,0,0,0.0822249179746335,-0.174977116589991,0,0,0,0,0,0.0545310526133102,0,0,0,0,0,0,-0.054970320932501,0.0500754082447636,0,-0.0261434289316765,0.059073323587894,0.125966878077989,0,0,0,0,0,0,0,0.139232060484049,0,-0.0514584700896441,0,-0.00361364008839533,-0.0865645660574701,0.108465855034944,0,0,-0.11372554802232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142676968457256,-0.0414495915322638,0,0,0,-0.0511217630014035,-0.0620772359834169,-0.0132372084329834,0,0,0,0.000133598156607896,0.0175683830693029,0,0.11755139428949,0.0450044260400024,0,0,0,-0.00760003524216289,-0.0904615272444814,0,0.053166074797356,0,0,0,0.0502180665132272,0,0,0,0,0,0,0,0.135309908201548,-0.0106603783457031,0,0,-0.052173769673166,0,0,0,0,0,0,0,0.177854352538229,-0.0630191893393354,0,0,0.302980370238781,0.0742702211122364,0,0,0,-0.00911539963074724,0,0,0,0,-0.092503516255161,0,-0.0152343853382509,0,-0.0430123806555138,0,-0.128948978841324,0,-0.0396629876123846,0.0931858947146719,0,-0.0383319231583859,-0.0196736693848842,0,0,-0.00451539624871814,0.1613425811908,0.12145022777075,-0.205962522229704,0.0867547950086372,0.066719568716057,0,0,0,0.00198782984655364,0.0837350886602443,0,0,0.0709653562754825,0,0.0301996812722865
"PBRM1",0,0,0.351791545776916,0,0,0,0,0.0471899435372256,0,0,0,0,0,0.0894830203036017,0,0.068418065042993,-0.035187718035164,0,0.0878734431485364,0,0.0129375587078442,-0.023278599007236,-0.00319917340366811,0.033194846934544,0.0148371073830915,0,0,-0.070932400979432,-0.0177978340343553,0.254333683111502,0,0,0,0,0,0,0,0,0,0.0601775179547707,0,0,0,-0.0728625692347437,0,0,-0.110937860126457,0,0.111341716603584,0,0,0.0688785888051549,-0.0412935863882868,0,-0.0371450083401886,0,0,0,0.019608198975312,-0.12688049834999,0.0487071025315087,0.0281303019263851,0,0,0.0334284774874543,0,0,0,0.022225264077116,-0.00759551240019093,0,0,0,0,0.0693630342948433,0,0,0,0,0.0408074620930003,0,0,0,0.0935058104199458,0,0,0,0,0,0,0,0,-0.0324980163717441,0,0,-0.0127123537046872,0,0,-0.0322524069745536,0,0,0,0,0,0.0842366322409133,0,0,0,0,0.0260483179712559,0,-0.0611146882074322,0,0,0,0,-0.210355146100542,0.0201130493853001,0,0.0757679768222591,-0.0679190997997622,0,0.0716217904917343,0,0,0,0.100615690216709,0,0,-0.159165710071032,0.145918354193578,0,0,0,0.0192553040198329,0.0228770759458897,0.0300950687499483,0.0848464116284767,0,0,0,0,0,0.048452393970635,0,0,0,0,0,0,-0.0185710283705321,0,0.105278800881116,0,0.0699919311186276,0,0.110722274028988,0,0,0.070429391858629,0,0.0122156675245755,0.126598289012457,0,0.0143765065384067,0.121165695048498,0,0.0553705966476067,0,0,0,0,0.304940248436481,0.029370902272034,0,0,0.1174054089537,0,0.0253834702119753,0.0658890755311429,0,0,0,0,0.00791705438872923,0,0,-0.0982450027353493,0.013355662020339,0.0921324971657209,0,0.0252710545293949,0,0,0,0.0503902506914655,0,0,0.0453338202353639,0,0,0,0,-0.0361882186217942,-0.0133981948619325,0,-0.0273393144538282,-0.0208316756252052,0,-0.017807388042063,0,0,0,0
