"","ZMYND8","TPCN1","HEG1","HACE1","LDLR","MOCS1","KIR2DS2","ACADM","PIK3IP1","PBRM1","TBC1D15","DBNDD1","ZFP64","GALNT12","UBALD1","ARHGAP9","LSS","LOC100133227","LOC100131066","LOC100130899","N4BP3","LINC01531","LOC100507281","CREB3L2","ERMP1","NEK1","PIAS3","BICDL2","GPM6A","ZBTB8A","ABCC5","BMPR2","ZXDC","RAMP1","HEMK1","NMRK1","RPL5","PSME2","SCD5","KMT2A","RGS16","CD38","SHOX2","FAM189B","PPM1M","PADI2","TROAP","IFI6","DDX46","USP18","CST7","DHRS1","LITAF","CDK2AP2","POF1B","HPGDS","NTN5","SH2D1B","SORD","RBMY2FP","TRGV7","BTRC","MLC1","FITM2","RPS10P7","CENPC","FBXL2","ALDH6A1","MTMR1","SPEM1","TRGV5","XK","RBM45","NPL","ADHFE1","LDHD","SMAD6","ANAPC4","MRAP","PRF1","AUTS2","COA6","ASPH","KLHL10","NECAB1","MGC4771","TPSD1","CRYBB2","CSF2RB","TRBV19","HIST1H3G","ING1","CCL23","IL18R1","WASHC1","PCDHB2","YIPF7","MGARP","MAP3K8","ABCD2","BANF1","IFT74","AGMO","LIN54","OAS3","RB1CC1","ZMYND11","HK2","IL2RG","NAGA","KRT2","PMS1","AGTR2","ZNF818P","CDY2B","PRY2","CDY1B","ZSCAN2","AGPAT4","HERC4","CTSL3P","ACR","ACTN2","CDK8","CREBL2","ACAA1","ARNT","AUH","CAT","CCR3","ATF2","FCER1A","GNAL","INSM1","ITGA5","MTAP","ODF2","OVGP1","SERPINB2","PHB","POU2F1","PPP1CB","PTPN9","ATXN2","SELPLG","TGIF1","UNG","ZNF133","ADAM12","HIST1H3H","CD83","CD163","SEMA4F","CDH1","EPRS","FOXA3","NAIP","STK17A","SPTLC2","MTOR","PLA2G7","CCS","GRK3","HCLS1","DMXL1","SMO","AKAP9","RNF41","MPHOSPH6","SMAD7","GZMA","PPP2R5D","FBLN5","TBL3","RELB","PDIA5","TKTL1","PITPNC1","IKBKE","SLC25A13","CADM1","CLDN15","UBE3C","PIEZO1","RNF144A","SNX19","KIAA0141","NCAPD2","POLA1","TCP11L1","PPP3CB","CAPN3","ZNF767P","PCDHGA6","OMA1","APOL1","RNF135","ZDHHC16","HNRNPA3P1","ABCG1","SKIL","KIR2DL4","LOC401957","EEF1B2P5","LOC439962","LOC643654","LOC644193","RPL37AP8","LOC644590","LOC645529","FAM90A22P","PHKA1P1","RPS28P4","LOC646543"
"ZMYND8",0,0,0,-0.0591886665558983,0.00175111088835271,0,0.0341218654006484,0,0,0,0,0,0.104835662558027,0,0.0105465717003554,0,0,0,0,0,0,0,0.0958745503658697,0,0,0,-0.025538299598616,0,0,0.0738424792345605,0.182800703553715,-0.0514390634952146,-0.0816572434021226,-0.00394094349172564,0,-0.0164711703470943,-0.0210582867896556,-0.0302031918727147,0.0698271468285874,0,0,0.0629593244451807,0,0,0,0,0.0169425699727612,-0.0524796247190749,0,0.0117638373232679,0,0,0,-0.0813372167999016,0.0404165365590952,0,0,0,0,0.0150851907051503,0,0.045764229878625,0,0,0,0,0.00982086378265513,0,-0.0229678480981528,0,0.0497920316467643,-0.0234275968420317,0.0610256088999985,-0.0397249408178812,-0.0108259720190424,0,0,0,0,-0.0469722793626157,0,0,0,0,0,-0.00348459601724343,0,-0.0286711594196005,-0.0985192459107441,0.0298475064668602,0,-0.00891306034089948,0,0,-0.071054213721261,0,0,0.028238892728677,-0.0450779640408428,0.0629739523102175,0.0130008594773255,-0.0146922996904008,0,-0.00480258927607779,0,-0.0735663363246505,0,0.036208278156389,0,0,0.021237760980832,0,0,0,0,0,0,0,0.130855140662717,0,-0.044620698912158,0,0,0,0,0,-0.037572138306004,0,0.0167011100796976,0,-0.058662786947038,0,-0.0497152781413647,0,0,0,0.00616365738093514,0,-0.0509305194423967,0.263770544519082,0,0,0.0662467154039053,0.217015330893376,0,0,0.00776008394801142,0.0117713120395372,0,-0.0373989836216883,0,0,0.0424014719370408,0,-0.0597970444188834,0,0,-0.0431674694235595,0,0,-0.0535333149645105,0,0.0451728584608767,0,0,0,0,-0.0393442732233608,-0.00839226908653988,-0.0282124885294991,0,0,0,0.0266060339552814,-0.0187228663475575,0,0,0,0.0799346378114196,-0.0637389352384755,0,0,-0.00640138353468101,0,0,0,0,0.00934850603437851,0,0.0386051156283286,0,0.172215549634357,0.0700389375967846,0,0.0140209900196566,-0.0663307911041645,-0.0418358852013518,0.0337481365599439,0.0210757022003742,-0.0417076667394549,-0.0387877246582264,0.0314132131748084,0,-2.13634554680604e-05,0.0772612557569436,0,0,0.0902348858828741,0.0139622844680008,-0.0133225427216348,0,0,-0.00114134260154301,0.0756716078729303
"TPCN1",0,0,-0.00544862761049915,0,0,0,-0.0217207363001841,0,0.0162336867363789,0,0,0,0,0,0.0920800628212937,0.00621039430937014,0.0572795758246435,0,0,0,0,0,0,0.101081625892001,0,0,0,0,0,0,0,0,0.0277302012657296,0,0,0,0.00375157583847987,0.0200133633521238,0,0,0,0,0,0,0.13671666700571,0.0518544050386985,0,0,0.0550722144230798,0,-0.0402177964352919,0,0,0.0267772906241695,-0.0110571568926115,0,0,0,0,0,0,0,0,0.00601222396522026,0,0,-0.0543812654605625,0,0.0741644221044113,0,-0.0857596676049287,-0.0341098133799886,-0.0154857080592389,0,0,0,0,0.0232121234969201,0,0.0204830500207887,-0.0423096657192538,0,-0.0745375126463729,0,0,0.045528898166547,0.0790343724592297,0.039397066645423,0.0355368093194275,0,0,0.0721693210125165,0,-0.0166891984332977,0.0149244806343127,0,0.0426927764902544,0,0,-0.187889499244345,0.00013535504697419,0,0,-0.068344948191781,0,-0.00752938092901639,0,-0.1228980115653,0,0,0,-0.00659511098074838,0,0,0,0,0,0,0.0242729046724712,0,0.027717627112712,0,-0.043811313859566,0,0,0.118751687666063,-0.0119287192016579,0,0.0637012824728422,-0.0316811366109673,0,0,0,-0.0422244871474945,0.0615315080060513,0.0633623584453494,0.0830489933165255,0,-0.0492500790784047,0,0,0,0,0.012409003910476,0.0294381514875393,0,-0.0444634810354713,0.0304584601099823,0,0,0,0.0336521342596529,0.053523630636704,-0.000699730626019753,0.0501207009749583,0,0,-0.0218644993244314,0,0.00953776473195721,0.0185850158917767,0.138769722552717,0,0,0.0130417287569496,0,0.00952299477073253,-0.00772054612172884,0,0,-0.0151053208882544,0,0,0.049315335025418,0.00149593851512207,0.023948010767185,0,0,0.0589702385956206,0,0,0.0767008053153762,0.0624875294114189,0,0,0,0.0329066389286372,0.00242757040212555,0.0450192745269262,0,0,0,0,0,0,-0.0187901426250345,0.0716602052485327,0,0.0446813158842596,0.0481589306715921,-0.0135900931059606,-0.0151708204532481,0,-0.071861561559223,0,0.0104191923069127,0,-0.0866422125338468,0.0818648477294788,0,0,0.0715376065907125,0.0475325598870567,0.0386007261660719
"HEG1",-0.0224125007593277,0,0,0,0.0392871740488608,0,0,0,0,0.259531523989992,0,0,0,0,-0.0642348870933496,0,0,0,0,0,0,0,0,0.0681678264961873,-0.0219685752863659,0,0,-0.00365576642711246,0,0.0646165228099014,0,0,0.113104705168994,0,0,0,-0.0526907974451101,0.0302955614958373,0,0,0.0952133285626504,0,0,0,0.0456656767148424,0,0,0.0159992101336819,0.0308918193979317,0,0.185019399608955,0.0868251361900127,-0.110984192005784,0,-0.0226570422513256,0,-0.0546401945637946,0,0,-0.0461490243270346,0,0.088306920890511,0.0218474904755561,0,0,-0.067317064221602,-0.0426225874402786,0,0.0831157397167218,0,0,-0.0337272096848091,-0.0454904011550237,-0.0848052477713719,0,0,0,0,0,0.000789346294049082,0.0956470875618725,0,0,0,-0.0766417804378901,-0.0809736333306794,0,0.076174026309005,0,0,0,-0.0581647908202449,-0.0344753934563196,-0.0943870399882802,0,-0.036894557895553,0.0653619241423717,0,0.00127864503852343,0,0,0,0,-0.0303395522643814,0.0549788580083023,0,0,0,0.0356994958463411,0.022901110658925,0.00376714270155328,-0.0415341324244056,0,0,-0.0590799582054507,0,-0.129915119667863,0.0259802699202224,-0.138368258885102,0,0,0,0,0.0707459720145507,-0.101673176493302,0.00712716478658612,0.0189211948938292,0,-0.0461643515486728,-0.0666685192056675,0,-0.103607938442406,0,-0.0083730050243629,0.035836162000912,0.0100085549054725,0,0,0.0678299008374752,0,0.0265522059694539,0,0,-0.0510832359202796,0.0555579410350771,0,0.0799721247382668,0,0,0,0,0,0.00358507750267332,0,0,0,0,0.0206372960367598,0,0.0227247573237133,0,0.0265809627262934,0,0,0,0,0,0.106075281558517,0,0.030926611349137,-0.0242081839661692,0,0.215672231101296,0,0,0.0746493008550997,0.0431450485908676,0,0.0144601427886451,0.0641576183541881,0,0,0,0,0.0472215085995966,0,0,0.0239299522401085,0,0,-0.0627641867753327,0,0,-0.0818687860066177,-0.032912619166118,0.0973419987614612,0.0227208401918817,0.000271113543371165,0.0162872813747664,0.0464333840747472,0.0550683222212546,0,0,-0.0523963541505051,0,0,0,-0.0405896288742148,0.0400104684165691,0,0,0,0,0
"HACE1",-0.0187518219252923,0,-0.0285994762026231,0,0,0.034631253651309,-0.0338422821697086,0,0.018407571674924,0,-0.0426716084976669,0.0195748808764009,0,0,0.0768332300588536,0,0.0206231006027136,0,0.0954642961139927,-0.0424465881104222,0,-0.0531308688746057,-0.0913562593863406,0,0,0.123769616896607,0.0668513754344624,0,0,-0.0489182065790921,-0.0654721640653284,0.0455681922616473,0.0403707054901301,0.00370978706137439,0,0.0179967712018872,0,0,0,-0.0465455594374075,-0.0880236859191997,0,-0.00947887896697903,0,0,0,0,-0.0311330380718155,0,0,0.0712370841414852,0,0,0,0,0.107515699646916,0.00638575240375354,0,0,0,0,0,0,0,0,0.0730506235532094,-0.0308668171310509,0.00516082740781617,0,0,-0.00157404951819625,0.0755333603724561,-0.036128781168282,0,0.0142887770582301,0,0,0.0153000026654438,0.085388429409995,0,0.126689688691929,0,0,0,0,0.0704493805765465,-0.00792717411466081,0,0,0,0,0,0,0,-0.0164415288673941,0.0185878474641178,0,0,-0.0373875679955922,0,0,0.0216129248120478,0.072117877572402,-0.0255088172086017,0,0,0,0,0.0423556636082417,0,0,0.185197860785678,0,0.00960572406946236,0,0,0,0,0,0.0181378528300234,0,-0.02954095195396,0.0667210626441364,0,0.000878480852706717,0,0,0.0507857129420215,0.0495966948024932,0,0.0390576567363782,0,0.0151935475175795,0,-0.048032074634649,-0.0535726162085328,0,-0.0276497234728184,0,0,0,0,-0.00163571409486804,0,0,0.0451802150893398,-0.0689294695850758,0.00412870093180472,0,0,0,-0.00553029442575059,0.0151371292457087,0.0472700301293145,0.000557911453102523,0,0,0.029365587197538,0,0.00214316571959416,0.0218509868420022,0,0.00937228949488871,-0.0728433124338456,0.0596378003427624,0,0,0.0421104638765886,0.0779719283399955,0,0.0368743434399533,0,0,0.0241975990753907,0,0.017615030295615,0,0,0,0.0247415528530918,0,0.0393188183493542,0,0,0.033956533301089,0.0433823458764017,0,0,0.0424726807478226,0,0,-0.0030219059054015,0,0,0.0327327728323185,-0.0385740781007685,0,0,0,-0.00721953893524197,0.00637061945906436,0,0,0.033165694421196,-0.0584371521124545,0,0,-0.028099730682384,0,0,0,0,0.00157811563076163,0
"LDLR",0.0523556351030972,0,0.0974553327821592,0,0,0,0,0,0,0,0,0,0,0,0.0346161138042369,0,0,0,0,0,0.0302968809485673,0,0,0.0361305008330844,0,0,0,0,0,0,0,0.0476525318710877,-0.00696962189034488,0,0.0830729121533727,0,-0.0291712981791191,0.0214022466465834,0,0,0,0,-0.0166398749857149,0.0591616383921644,0,0,-0.0482136094529726,0.0901727199063403,0,0,0.092906382677721,0,0,0,0,0,0,0,0,-0.0385870060143362,0,0,0.0200757724660472,-0.0765300864666379,0,0,-0.0115150097161738,0,-0.0144615055168096,0,-0.0226582081825638,-0.0341944443920973,0,0,0,0,0,-0.063518278434026,0,0,0,0,-0.0501028711574266,0,-0.0114477087708449,0,-0.0895497212506096,0.0202222820753293,0,0,0,0,-0.00664681059580201,0,0,0,-0.0219244204332719,0,0.0466779961636958,0,0,-0.0628561098676306,0,0,0.0659041760996857,0,0,0.0612729238730867,0.0481823958085431,0.155819872840985,0,0,0,0,-0.020325343620724,-0.0346613293824063,-0.0254435334323723,0,0,0,0,0,0,0,0,0,0,0,0,-0.0352737689954007,-0.037168823276836,0,0.0549346941660898,0,-0.00937271779945463,-0.0793209784787328,-0.0233888563915238,-0.0399939014934735,0,0,-0.00408435775424278,0,0,0,0,0,0,0,0,0.028663846801635,0.0615533855118598,0.0353466355017362,0.0640957620345141,0.0355754741592289,0,0,0,0.0454999052336387,0,0,0.0396139682379635,0.0186705947825816,0.0711171977150247,0.0391128227429664,0,0,0,0,0,0.0609715738930514,0.0750617555515056,0.0226114814588255,0,-0.0730455344234922,0.0796231153119839,0.129886165413572,0.134477824492433,0.023581642240107,0.0365244331844415,-0.0185672775757718,0.0325143348544521,0,0.00381997978470109,0.00744255589306752,0.0495267786237134,-0.062269828601069,0.025423004262935,0,0.0302695971938668,-0.0123365765187079,0.00943315246301773,0,0,0,0.0162537008755171,-0.0844603005743491,0,0,0,0,0,0,0,0,0,0,-0.0213000985029752,-0.00609819120353143,0.036027073647231,0,-0.0493353151400185,0.0565896871350689,0,0
"MOCS1",0,0,0,0,0,0,0,-0.0281149286203543,0.0403529434565476,0,0,0,0,-0.0435354836989457,-0.0455706766392238,0,0,0.070337271035714,0.102559532669423,0,0,-0.053464993919492,0,0,-0.0540641401350008,0,0.0931571243340076,0.0421920181762346,0,0,-0.0260769868997769,0,0.0878070915597162,0,0,-0.0112333379966605,0,-0.0382499441754501,-0.0180166783944822,0,-0.0565361871609029,0,0.0414193201277646,0,0,0,0.115948048546008,0,-0.0228324567221588,0,-0.0171741679025821,-0.0785872679272714,0,0,0,0,0.0312898590980217,0,0,0,0,0.0423388994679958,0,0,0,0,0,0,0,0.0170852436359207,0,-0.0680792711262758,0,0,-0.0238849055692152,0,-0.0250692427678295,-0.0207142062181651,0,0,0,0,0,0.0410895667910547,0,0,0,0,-0.0630875929525403,0,0,0.044627208086946,0.00925921189691678,0,-0.0134746856014133,0.133930561971345,0,0,-0.00623296832686715,0,0,0,0,0,0.0378894744829527,-0.032926458761439,0,0,-0.0123059855719581,-0.0266953755201105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235241148456786,0,0,0,0,0,0,0,0,0.0334311131432342,0,-0.0320134607040747,-0.0318907625031324,0,-0.0620573411100209,0,-0.000319102810294158,0,-0.0401433914873772,0,0.0396879271502101,-0.00410357386886492,0,-0.0721351412557931,0.0331902040238977,0,0,0,0,-0.0599211246113353,0,0,0.0352180218676047,-0.0237430462765646,-0.0304087372959274,0,0,0,0,-0.0443957145104498,0.000486920790816742,0.0120901317080517,0,0.0117118252109154,0,-0.0467270265154364,0,-0.0241026347944443,0,0,0,0.0525870804475324,0,-0.072922337919204,0,-0.037424972934091,0,-0.046452905700391,0,-0.0251258806540559,0,0,0,-0.0471740017195767,0.038833857249436,0,-0.0224475340486454,0,-0.0250889168158404,0.0403555304505952,0.0987825667731675,-0.0227148854004354,0.0561307595025391,0,0.000140736120212142,-0.0857229199191486,0,0,0,-0.0123914190848199,0.0521959946162195,0,0,0.0538409454509463,0,-0.161577324680011,0.125322459001769,0,0.067890359247904,-0.0369645551027188,0
"KIR2DS2",0.0550708098549315,-0.00963949778908418,0,-0.0225135951110487,0,0,0,0,0,0,0,0,0,0.0139619925218539,-0.0534306494574442,-0.0418242044594461,0,0,0,0,0,0,0,0.0650665400289519,0.0576052156670218,0,-0.0261487256516258,0,0,0.00677573262347755,0,-0.0259344923595396,0,0,-0.0191717031925319,-0.0324561505947166,0,-0.0388968011065952,0.0260278703134344,0,0,0,0,0,-0.0307200725389717,0,0.00256481780615526,0,0,0,0.049359661175362,-0.0182146380828896,0,0,0,0,0,0,0,0,0,0,0.0962405246796144,0,0,-0.0243729517773185,0,0,-0.0390306169319803,0,0,0,0,-0.0543620401066911,-0.022017726161307,0,0,-0.0173199117714404,-0.0287136042425497,0,0.0361977060043068,0,0,0,0,0,0.00399934172741341,-0.0248014681295342,-0.0344817215946158,0,-0.0232556066699077,0,0,0,0.0233514723779175,0,0,0,-0.0461903060786221,0,0,0,0,0.0390900880954301,-0.0364483990432796,0.00896163753249762,0.00018024463007663,0,0,0,0.0102621978346475,0,0,0,0.039894598801192,0.00634200934497617,0.0259683453258178,0.0401962950367184,0.0001253938722924,-0.0424792054857329,0.00265915808129614,0,0,0,0,0,0,0,0.0414700522451854,0.0481863837038576,-0.0262155801354854,0,0,0,0,0,0,0,0,0,-0.0133102607948478,0,0,0,0,0,0.0520803218027196,-0.022149514351053,0.0327801535051159,0,-0.0044713916401542,0,0,0.0305837498828683,0,0,0,-0.033793186979611,0,-0.0065735344344598,0,0,-0.0827508070461843,-0.0228955830694837,-0.00122209970479499,0,0.0546062184070925,0,0,0.0206389112587679,0,0,0,-0.000192445422159697,0,0,0,0,0,0,0.0449462725593712,0,-0.0183503243837899,0,-0.00864696310432337,0,0,0,-0.000353129795013142,0.0361428051082415,-0.0242002849874183,-0.0226218653950425,0,0,-0.0233251306503092,-0.0675748398048103,0,-0.0408505579176152,-0.00842540576590773,-0.0422843787737377,0,0.624118940678926,0,0,0.0125386255688543,0,0.0440982069483435,-0.0348516862986671,0,0,0,-0.0378632860857931,0,0
"ACADM",0,0,0,0,0,0,0,0,0,0.0347697374356859,-0.0340972722541249,0.0155546253629928,0,-0.0860460545119157,0,0,0,0,0,0,0,0,0,0,0.041266318223748,0,0,-0.0104249185152142,0,0,0.094436955994787,0,-0.0692419297103669,0,0.0482357643060793,0,-0.0241049052151718,0,0,0,0.0529445023353498,0,0,0,0,0,0,0,0,0,0,0,0,0.0629979921355729,0,0.0647541729488218,0,0,0.0509287490908045,0,0,0,0,0,0,-0.0268902745869423,0,0,-0.0684651688420637,0,0,0,0,0.0677410716990816,0,0,0,0,-0.0734831221442576,0.040035942978899,0,0,0,-0.0386506348318951,0,0.065253696431887,0,0.00218863683047896,0,0.179294939291445,0,0,0,0,-0.0667532783205849,0,0,0,-0.0522361949553404,0.145225549776878,0.0256990925806075,0,0,0,-0.0494824688952125,-0.0212292147573756,0,0,0,0,0,0,0,0.0901096046356071,0,0,0,0,0,0.175429352854802,0,0,0,0,0.233811878784073,0.0797113560021054,0.0140250136229001,0.0206884944278195,0,0,0,0,0,0,0,0,0,0,0,0.00762406841173522,0,0,0.0780513827121559,0,0.188178495474801,0,0.109671324345237,0.0632262118471476,0,0,0,0,0,0,0.00618144676257997,0,0,0,0.105926383080624,0.046220613094048,0,0,0.0323073445414902,0,0.135800611651366,0,-0.0358255445221877,0,0.125157265974866,-0.0528294856120451,0.0651783679189531,0,0,0.0173620127954708,-0.100896762600861,0.0499461219871371,0,0.0346913458841846,0,0,0,0.0901084694619757,0.0225920551764991,0,0,0,0,0,0.015413155858563,0,0.0323917941976374,0,0,0,0.0768126015486066,0.0155674211977267,0,0.127733296137208,0,0,0,-0.0746630170420686,0,0,0,0,0,0.0242767687120937,0,0,0,-0.00929383031077576,0,0
"PIK3IP1",0,0,0.0307061397646063,0,0,0,0,0,0,-0.0660750658056169,0,0,0,0,0,0,0,0,0,-0.0397825572074391,-0.0453058505693349,0,0,0,0.0140127815792735,0,0,-0.0138544319327029,0,-0.0779015934494082,0,0,0.00973888904095395,0,0.0300077017226866,0,0.110962879167021,0,-0.0159802043832681,0,-0.0553855609990929,0,0.00426669004826995,0,0,0,0,0.0299678303720338,0,0,-0.266960701484555,0,0.0423997011685688,0,0.0330072473044723,0,0,0,0,-0.00863469318392159,-0.0017554003880397,0.0355173528950588,0,0,0,0,-0.0292847840855969,0,0.0869119475829907,0,-0.0299530549063891,-0.0188378271118308,0,-0.042608673173536,-0.0213636414520564,0,-0.0136063992706735,0,0,0.138951479369136,0,0,0,-0.141900382262825,0,0,-0.00978074664035222,0,0,0,0.100556538373079,0.0338434369549611,0,0,0,0,0.0509514439532655,0,0,0.123508548409709,0,0,0,-0.0274479226475079,-0.0622929558364559,0.0287891329417507,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00533864551421301,0,0,-0.0413371034769805,0,0,0,0,0,-0.0499380028915082,0,0,0,0,0,0.0488327125787977,0.080787484341283,0,0,0.0926689450339454,0,0,0.0800399693612161,0,-0.0467104715896236,0.0377075970450882,0.104300125301345,0,0,0,0.147041271273183,0.136285787797857,-0.0620150189876614,-0.0358541785947159,0,0,0,0,0.189773306826711,0,0.0359634240157313,0,0,-0.0483136300850532,0.112420979536254,0,0,-0.0473650207961583,0,0,0.0414051255235457,-0.0156896152329619,0,0,0,0.0728310483530394,0,0,0,0,-0.01602924954467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499814443262479,0,-0.0366168144609936,0,0,0.22623937905775,0.0488670331680546,-0.00991640045924312,0.138520101017854,0.131260088992341,0,0,0,0.178555679974337,0.0420970577535124,0,0,0.0349107558513779,0.0759987641529973,0.00727782767813125
"PBRM1",0,0,0.271473421606045,0.00694400156845286,0,0,0,0.0236063287278109,-0.0295564360586788,0,0,0,0,0.0666920547655932,0,-0.010552851984855,0,0,-0.0532500412487477,0,0,0,0,0.0434825528178512,0,0,0,0,0,0.145615547857705,0.0136629958412485,0,0,0,0,0,0,0,0,0.0382325559718561,0,0,-0.0394161824511178,0,0,0,0,-0.0721622984125192,0.0382180206892011,0,0,0.0491895208587333,-0.0570890099770931,0,-0.0501169052466944,0,0,0,0.0279249523217626,0,0.129770804670213,0.0323727524537267,-0.00617654620403846,0,0,0,0,-0.00951976366297417,0.111731223974671,0,0,-0.0489051684724895,-0.0743871253446571,0,0.0503942333599392,0,0,0,0,0,-0.0629859906302903,0,-0.0434580451439993,0.0915013233352455,-0.06388782501431,-0.0725023450242647,0.043674267073913,0.0925960816656098,0,0,0,-0.0226507142205509,-0.00223911615693272,0,0,0,0,0,0,0.0147701777680177,0,0,0,0.0333647263098942,0.0569546801732902,0,0,0,0,0.0674307362777484,0,0,0,0,0,-0.00988693304963103,0,0.0538059046898662,0,0.055663710227229,-0.0664144133111879,0,0,0.0541846676940273,0,0,0.078839163277559,0,0,-0.0710423016021789,0,0,0,0,0,0.0195799725244576,0,0,0,0.0530540210603877,0.0654039331427408,0,0,0.0535225320526131,0,0,0,0.0515356293461662,0,0,0,-0.0547241298114178,0.105490503323686,0.179523141674908,0.058821225892827,0,0.0387780597336219,0,0,0.133365290506597,0,0.0435933933200516,0.0664708238628506,-0.0226344766710571,0.00340237350360118,0,0,0.0679416206112256,0,0,0,0,0.154180827668547,0,0,0.0590360048460095,0,0,0.0352072580124155,0,0,0.0544179888963459,0.00233081188124339,0,0.0352091010273069,0,0,-0.010704936163375,0,0.126171125232077,0,0.0309866839125946,0,0,0,0.0274442265452544,0,0,6.95797381026802e-05,0,0,0,0,-0.0375250147167228,0,0,-0.0473448439275749,-0.0842166532803425,0.0373664472872394,-0.0251099239408471,0,0.00771980040417488,0.0459936583663017,0
