"","V1","V2","V3","V4"
"1",100,10,5,0.518368005752563
"2",200,20,5,0.54276704788208
"3",300,30,5,0.571589946746826
"4",400,40,5,0.594645977020264
"5",500,50,5,0.623294115066528
"6",600,60,5,0.63763689994812
"7",700,70,5,0.66946005821228
"8",800,80,5,0.73389196395874
"9",900,90,5,0.79230809211731
"10",1000,100,5,1.11812305450439
"11",1100,110,5,1.16849589347839
"12",1200,120,5,1.04322910308838
"13",1300,130,5,1.09867000579834
"14",1400,140,5,1.45575499534607
"15",1500,150,5,1.33847904205322
"16",1600,160,5,1.25167417526245
"17",1700,170,5,1.32430219650269
"18",1800,180,5,1.29422688484192
"19",1900,190,5,1.33159899711609
"20",2000,200,5,1.45079493522644
"21",2100,210,5,1.60816383361816
"22",2200,220,5,1.60091114044189
"23",2300,230,5,1.72806191444397
"24",2400,240,5,1.75755000114441
"25",2500,250,5,1.7920069694519
"26",2600,260,5,1.75404381752014
"27",2700,270,5,1.98517298698425
"28",2800,280,5,2.12901401519775
"29",2900,290,5,2.02261710166931
"30",3000,300,5,2.47836303710938
"31",3100,310,5,2.31332802772522
"32",3200,320,5,2.61093807220459
"33",3300,330,5,2.65109705924988
"34",3400,340,5,2.43237090110779
"35",3500,350,5,2.6117308139801
"36",3600,360,5,2.5982940196991
"37",3700,370,5,3.00073480606079
"38",3800,380,5,3.0643470287323
"39",3900,390,5,3.13358497619629
"40",4000,400,5,3.16536808013916
"41",4100,410,5,3.4806981086731
"42",4200,420,5,5.27355098724365
"43",4300,430,5,3.79969310760498
"44",4400,440,5,3.98838591575623
"45",4500,450,5,3.83349990844727
"46",4600,460,5,3.79619693756104
"47",4700,470,5,4.15250396728516
"48",4800,480,5,3.96870112419128
"49",4900,490,5,4.26601195335388
"50",5000,500,5,6.32999181747437
"51",5100,510,5,6.64626121520996
"52",5200,520,5,6.18696618080139
"53",5300,530,5,6.62315201759338
"54",5400,540,5,7.16761493682861
"55",5500,550,5,8.1528639793396
"56",5600,560,5,7.20195698738098
"57",5700,570,5,7.53568887710571
"58",5800,580,5,7.80737400054932
"59",5900,590,5,8.02144002914429
"60",6000,600,5,8.06548595428467
"61",6100,610,5,8.06606793403625
"62",6200,620,5,8.27436590194702
"63",6300,630,5,9.55556893348694
"64",6400,640,5,9.37150001525879
"65",6500,650,5,9.4941349029541
"66",6600,660,5,10.2414600849152
"67",6700,670,5,9.08076095581055
"68",6800,680,5,9.5732090473175
"69",6900,690,5,10.7413620948792
"70",7000,700,5,10.1334118843079
"71",7100,710,5,10.8943710327148
"72",7200,720,5,10.5014619827271
"73",7300,730,5,13.5335919857025
"74",7400,740,5,11.1095530986786
"75",7500,750,5,11.9972770214081
"76",7600,760,5,11.4573740959167
"77",7700,770,5,11.8844361305237
"78",7800,780,5,12.095458984375
"79",7900,790,5,11.6342959403992
"80",8000,800,5,12.9756381511688
"81",8100,810,5,13.0532848834991
"82",8200,820,5,12.3965511322021
"83",8300,830,5,12.4268729686737
"84",8400,840,5,13.1152100563049
"85",8500,850,5,12.6607711315155
"86",8600,860,5,13.4498288631439
"87",8700,870,5,13.5070898532867
"88",8800,880,5,14.7869029045105
"89",8900,890,5,15.9458708763123
"90",9000,900,5,15.4929521083832
"91",9100,910,5,16.0723509788513
"92",9200,920,5,17.4585120677948
"93",9300,930,5,16.607724905014
"94",9400,940,5,17.3023278713226
"95",9500,950,5,16.3768708705902
"96",9600,960,5,16.6104159355164
"97",9700,970,5,17.3748819828033
"98",9800,980,5,18.0944669246674
"99",9900,990,5,19.060045003891
"100",10000,1000,5,18.3378491401672
"101",10100,1010,5,19.5174720287323
"102",10200,1020,5,18.7223598957062
"103",10300,1030,5,19.9914770126343
"104",10400,1040,5,18.6513619422913
"105",10500,1050,5,21.2233529090881
"106",10600,1060,5,22.4290270805359
"107",10700,1070,5,23.1070430278778
"108",10800,1080,5,23.3389759063721
"109",10900,1090,5,24.3137409687042
