"","Run Time Random Lasso","Run Time Rapid Lasso","Truth","Average Coef Random Lasso","Average Coef Rapid Lasso","Average Coef Random Lasso","Difference Rapid Lasso"
"1",3.44324969450633,0.359954126675924,3,0.198530143101368,0.23260611141843,0.69324873342797,0.555312529639111
"2",NA,NA,3,0.203410164618702,0.237886202423837,0.681880015244355,0.55601722955012
"3",NA,NA,-3,0.0397594933977205,0.0423954093476457,0.949920076813478,0.830833789823423
"4",NA,NA,2,0.0831828571284689,0.107766435288333,0.507695416795883,0.427077911769265
"5",NA,NA,2,0.0566787958021426,0.0764445054092518,0.538468580605933,0.450884734536969
"6",NA,NA,-2,0.0238122365984024,0.0214620562940334,0.61877154962779,0.549831051393493
"7",NA,NA,1.5,0.0887619121332923,0.112458594579379,0.364302405228036,0.268281327969668
"8",NA,NA,1.5,0.0846295815649981,0.117713505406427,0.365213611051687,0.264178764634313
"9",NA,NA,1.5,0.0652465145609718,0.0925330854586025,0.374399760107047,0.302604826328
"10",NA,NA,-1.5,0.0221741643080319,0.0291159449292817,0.477044078483959,0.420866851209264
