"","V1","V2","V3","V4"
"1",100,10,5,0.639206171035767
"2",200,20,5,0.82607889175415
"3",300,30,5,0.820920944213867
"4",400,40,5,0.929976940155029
"5",500,50,5,1.00989007949829
"6",600,60,5,1.0391960144043
"7",700,70,5,0.956757068634033
"8",800,80,5,1.00475788116455
"9",900,90,5,0.921846866607666
"10",1000,100,5,1.03764581680298
"11",1100,110,5,1.03811383247375
"12",1200,120,5,1.07993388175964
"13",1300,130,5,1.14939904212952
"14",1400,140,5,1.1362669467926
"15",1500,150,5,1.1316089630127
"16",1600,160,5,1.21159100532532
"17",1700,170,5,1.24516296386719
"18",1800,180,5,1.25307202339172
"19",1900,190,5,1.3469340801239
"20",2000,200,5,1.29423093795776
"21",2100,210,5,1.42020201683044
"22",2200,220,5,1.47616100311279
"23",2300,230,5,1.61974096298218
"24",2400,240,5,1.5331289768219
"25",2500,250,5,1.52872085571289
"26",2600,260,5,1.74262690544128
"27",2700,270,5,1.77792406082153
"28",2800,280,5,1.66850590705872
"29",2900,290,5,1.75735211372375
"30",3000,300,5,1.86061501502991
"31",3100,310,5,1.91124391555786
"32",3200,320,5,2.01353812217712
"33",3300,330,5,2.45675086975098
"34",3400,340,5,2.35156798362732
"35",3500,350,5,2.38283586502075
"36",3600,360,5,2.22279000282288
"37",3700,370,5,2.33133292198181
"38",3800,380,5,2.34782004356384
"39",3900,390,5,2.38494420051575
"40",4000,400,5,2.59616112709045
"41",4100,410,5,2.81753516197205
"42",4200,420,5,2.89609408378601
"43",4300,430,5,3.05343103408813
"44",4400,440,5,2.80513095855713
"45",4500,450,5,2.99133992195129
"46",4600,460,5,3.40357708930969
"47",4700,470,5,3.32292914390564
"48",4800,480,5,3.37667202949524
"49",4900,490,5,3.75247097015381
"50",5000,500,5,4.12405014038086
"51",5100,510,5,4.4120819568634
"52",5200,520,5,5.81460094451904
"53",5300,530,5,5.78337693214417
"54",5400,540,5,4.15227699279785
"55",5500,550,5,4.12878704071045
"56",5600,560,5,4.24797296524048
"57",5700,570,5,4.53538298606873
"58",5800,580,5,4.64454102516174
"59",5900,590,5,4.91580200195312
"60",6000,600,5,4.81804704666138
"61",6100,610,5,4.83409404754639
"62",6200,620,5,5.20913696289062
"63",6300,630,5,5.43019318580627
"64",6400,640,5,5.47138094902039
"65",6500,650,5,5.67410707473755
"66",6600,660,5,5.90344285964966
"67",6700,670,5,5.78112483024597
"68",6800,680,5,7.77299404144287
"69",6900,690,5,6.38376784324646
"70",7000,700,5,6.90414690971375
"71",7100,710,5,7.88932180404663
"72",7200,720,5,7.74310994148254
"73",7300,730,5,8.88202595710754
"74",7400,740,5,8.75324583053589
"75",7500,750,5,8.60408306121826
"76",7600,760,5,9.56216597557068
"77",7700,770,5,8.76346898078918
"78",7800,780,5,11.3454239368439
"79",7900,790,5,9.02732706069946
"80",8000,800,5,8.53664398193359
"81",8100,810,5,9.13412284851074
"82",8200,820,5,8.10595703125
"83",8300,830,5,8.21250987052917
"84",8400,840,5,8.96489596366882
"85",8500,850,5,9.26866102218628
"86",8600,860,5,9.19655704498291
"87",8700,870,5,8.85595989227295
