"row_names","ZMYND8","TPCN1","HEG1","HACE1","LDLR","MOCS1","KIR2DS2","ACADM","PIK3IP1","PBRM1","TBC1D15","DBNDD1","ZFP64","GALNT12","UBALD1","ARHGAP9","LSS","LOC100133227","LOC100131066","LOC100130899","N4BP3","LINC01531","LOC100507281","CREB3L2","ERMP1","NEK1","PIAS3","BICDL2","GPM6A","ZBTB8A","ABCC5","BMPR2","ZXDC","RAMP1","HEMK1","NMRK1","RPL5","PSME2","SCD5","KMT2A","RGS16","CD38","SHOX2","FAM189B","PPM1M","PADI2","TROAP","IFI6","DDX46","USP18","CST7","DHRS1","LITAF","CDK2AP2","POF1B","HPGDS","NTN5","SH2D1B","SORD","RBMY2FP","TRGV7","BTRC","MLC1","FITM2","RPS10P7","CENPC","FBXL2","ALDH6A1","MTMR1","SPEM1","TRGV5","XK","RBM45","NPL","ADHFE1","LDHD","SMAD6","ANAPC4","MRAP","PRF1","AUTS2","COA6","ASPH","KLHL10","NECAB1","MGC4771","TPSD1","CRYBB2","CSF2RB","TRBV19","HIST1H3G","ING1","CCL23","IL18R1","WASHC1","PCDHB2","YIPF7","MGARP","MAP3K8","ABCD2","BANF1","IFT74","AGMO","LIN54","OAS3","RB1CC1","ZMYND11","HK2","IL2RG","NAGA","KRT2","PMS1","AGTR2","ZNF818P","CDY2B","PRY2","CDY1B","ZSCAN2","AGPAT4","HERC4","CTSL3P","ACR","ACTN2","CDK8","CREBL2","ACAA1","ARNT","AUH","CAT","CCR3","ATF2","FCER1A","GNAL","INSM1","ITGA5","MTAP","ODF2","OVGP1","SERPINB2","PHB","POU2F1","PPP1CB","PTPN9","ATXN2","SELPLG","TGIF1","UNG","ZNF133","ADAM12","HIST1H3H","CD83","CD163","SEMA4F","CDH1","EPRS","FOXA3","NAIP","STK17A","SPTLC2","MTOR","PLA2G7","CCS","GRK3","HCLS1","DMXL1","SMO","AKAP9","RNF41","MPHOSPH6","SMAD7","GZMA","PPP2R5D","FBLN5","TBL3","RELB","PDIA5","TKTL1","PITPNC1","IKBKE","SLC25A13","CADM1","CLDN15","UBE3C","PIEZO1","RNF144A","SNX19","KIAA0141","NCAPD2","POLA1","TCP11L1","PPP3CB","CAPN3","ZNF767P","PCDHGA6","OMA1","APOL1","RNF135","ZDHHC16","HNRNPA3P1","ABCG1","SKIL","KIR2DL4","LOC401957","EEF1B2P5","LOC439962","LOC643654","LOC644193","RPL37AP8","LOC644590","LOC645529","FAM90A22P","PHKA1P1","RPS28P4","LOC646543"
"ASTHMA.GSM999867","13.5579","10.0462","10.3197","5.5451","10.5593","7.6006","12.6583","9.0476","11.6679","10.0852","9.7151","6.929","10.0158","8.4236","8.1502","12.9727","8.622","7.3621","5.8292","7.3773","7.9316","8.6794","10.6225","9.1432","9.9824","5.5198","6.8827","6.6682","9.3742","8.3153","10.8488","6.5409","8.3994","7.2141","10.0439","7.3889","13.3548","11.3402","7.3457","14.3768","10.2159","11.3473","6.8446","9.2752","11.621","9.8084","8.3176","9.0149","7.6808","11.3931","10.5172","12.2236","12.8704","10.3044","8.3681","6.1706","6.4019","10.0125","8.2982","7.0199","6.1588","9.6744","6.511","6.5803","12.7934","8.9346","9.2425","7.9956","10.0227","6.713","11.1393","5.55","6.9688","7.9433","7.6249","7.7527","6.5968","6.7794","8.9061","12.4679","9.5352","6.111","11.1389","9.1488","5.7215","7.4167","8.5573","10.2575","9.7699","10.7344","11.6234","10.9283","7.4415","8.7164","8.981","5.9837","8.1198","7.5004","10.2024","7.6418","12.1174","6.602","5.9208","9.0624","10.5688","9.5469","10.6701","7.8393","14.0971","11.7777","8.1758","5.7366","5.4716","8.3479","11.9045","9.136","10.5667","10.0077","11.5125","6.3691","7.6953","8.251","6.3273","8.7768","8.9691","9.9424","8.0186","5.8407","11.5045","10.3934","8.9355","7.2351","7.2796","6.9568","10.3282","7.904","7.1828","8.4377","7.8877","11.5257","10.7302","8.6133","11.1787","10.4665","11.7422","9.6325","9.289","9.4261","8.5823","11.2987","11.5197","12.0211","10.2455","7.0819","7.5585","5.6929","5.8338","7.8824","8.7928","10.8993","6.4577","9.6333","9.6969","13.5623","5.5689","7.3789","9.3697","12.4831","8.9092","10.392","11.7647","9.3548","9.2432","10.7181","11.9143","8.3799","8.2249","6.4662","8.4666","7.3781","7.8297","9.6368","7.496","12.1022","7.2596","7.2077","10.1355","10.7771","6.3061","11.5158","9.592","10.2899","10.9917","5.8949","7.8597","9.8574","9.004","9.7121","10.4919","10.0619","6.7539","12.2573","10.4116","12.0505","9.6709","6.436","9.467","14.4197","10.6636","7.2654","9.6766","10.9688","12.9644","7.3615"
"ASTHMA.GSM999868","12.3475","10.4755","10.5613","5.4719","11.2105","7.7444","11.733","9.3436","12.2585","9.336","9.6972","6.4257","8.8086","7.9564","8.7767","13.5995","7.9978","7.3546","5.8505","6.7087","6.9266","7.4199","9.981","9.0587","10.0872","5.581","6.9003","6.379","7.8913","7.0779","11.1966","8.317","8.8205","6.6758","10.0958","7.4836","13.797","13.0326","6.7371","14.8038","9.7712","10.2592","6.4686","9.5663","12.4126","9.7583","7.8295","10.3997","8.9153","10.4371","10.2867","11.988","13.3244","11.0648","5.7971","6.8609","6.1184","9.1875","7.9534","6.0568","5.9512","10.1416","6.4664","6.6096","12.7861","8.5595","7.9982","9.0157","10.7318","6.8859","10.3001","5.5753","7.0383","9.936","8.0409","7.1678","5.8954","6.8355","6.7687","11.8569","8.7159","6.2341","10.9039","8.2338","5.6432","7.5395","6.809","9.8125","12.3992","11.0587","12.8247","11.0626","7.0214","8.405","9.1672","5.9941","7.1323","6.2757","11.7673","7.3674","12.3769","6.2629","5.594","8.8448","11.3397","10.0959","11.5942","10.2397","14.6207","12.4637","7.8317","5.6618","5.4766","7.3922","10.0407","7.8423","8.6162","8.972","10.3394","6.9648","7.6767","7.9484","6.0928","8.7146","9.9413","10.3946","8.8633","6.4938","12.0807","10.6055","9.3516","8.9942","7.4236","6.9399","11.5628","6.8378","7.9571","7.5762","9.4956","11.4555","10.6511","10.7449","11.4788","9.988","12.1114","11.8389","8.7672","8.6245","7.2241","12.3531","12.8925","13.7437","9.4479","6.4763","7.9417","5.6722","6.9186","9.883","7.8897","11.1755","7.5173","9.7914","10.8714","14.3817","5.8911","5.8567","9.8679","12.4088","9.0304","10.7573","11.2642","9.8743","8.3508","10.4101","13.0444","8.0935","8.5312","7.1505","8.579","8.0786","7.0758","7.7506","9.6316","13.0148","7.1394","7.0426","10.0677","10.4546","6.5727","10.8606","10.8365","10.0776","10.3871","5.9473","8.6538","9.5663","9.0198","9.6676","11.3469","11.5698","8.0633","11.3135","11.6394","12.6844","9.1837","5.939","8.6037","14.474","10.4428","6.8938","8.2541","11.8915","13.4472","7.3774"
"ASTHMA.GSM999869","11.863","10.6484","11.0973","5.4831","11.4238","7.6263","11.6629","8.4407","12.6564","9.3352","10.1645","6.3957","8.4583","8.582","8.6662","13.3458","7.8332","6.9993","5.751","6.8174","7.2844","7.6751","9.6993","9.3997","9.2366","5.5624","7.1937","6.1557","8.1526","7.5145","10.2855","7.5833","8.615","6.6707","9.9451","7.9612","13.8764","13.0565","7.2261","14.9455","10.2421","10.3133","6.5247","9.3707","12.4527","11.4866","7.6088","12.1128","8.6086","10.5195","10.7358","11.6203","13.7742","10.9884","6.1872","6.016","6.1435","9.9473","7.7328","5.3318","5.7138","9.5715","6.8177","6.5166","12.9354","8.3839","8.1214","8.8275","10.7362","6.4873","9.9092","5.9436","6.913","9.5299","8.4383","7.4374","5.9428","6.6705","7.1998","13.0697","9.1687","6.153","11.441","8.3308","5.5112","7.4921","7.5325","10.9153","11.9703","10.6369","13.2193","11.6328","6.6175","8.6598","9.2482","5.9669","7.4473","6.39","12.3795","6.8247","12.5096","6.2443","5.4995","8.9669","12.4729","10.2978","11.3291","9.4204","14.6428","12.2418","7.5909","5.6012","5.4971","7.1928","6.7463","5.6464","5.5816","8.9389","10.0943","6.792","7.6371","8.1655","6.1787","8.3939","9.2178","10.462","8.5222","6.3011","11.5907","10.3846","9.8035","7.4055","7.4766","6.46","12.0159","7.0537","7.9241","7.7608","9.4265","11.3316","10.5573","10.5471","11.0248","9.7861","11.627","11.7592","8.8037","8.8311","7.4193","12.7417","12.8545","12.6321","9.4585","6.5652","7.6031","5.6136","5.8794","9.8075","7.3404","10.9563","7.5613","9.7974","10.4701","14.044","5.7684","5.9093","9.6362","12.1761","8.6365","12.4205","11.885","9.3343","8.4379","10.8113","13.5782","8.5817","9.5204","6.7054","8.5763","8.0884","6.7114","7.9701","9.4697","12.7404","7.4509","6.9768","10.1139","10.5485","6.736","10.5757","10.4625","10.3777","10.1929","5.9094","8.1266","9.8407","9.0475","9.2091","10.7633","11.6819","8.7838","11.445","11.9208","12.4756","8.8682","5.9792","8.252","14.4202","10.6241","7.3275","8.8369","11.5113","13.5242","6.853"
"ASTHMA.GSM999870","12.4511","10.2353","10.4346","5.5151","10.801","7.8573","11.9363","8.9026","12.8468","9.3878","9.8776","6.2405","8.7072","8.6278","8.5582","13.8546","7.5982","6.862","5.8469","6.5888","7.1684","7.6815","9.561","9.0006","10.1704","5.5443","7.2373","6.1003","7.9084","7.0581","10.1357","8.124","8.5187","6.5576","10.3419","8.353","13.6984","13.4185","6.9971","14.6764","9.6338","10.9767","6.304","9.5008","12.2402","10.3404","7.626","13.7961","8.8761","11.2307","11.0423","11.8771","13.4623","11.2555","5.9622","6.6829","5.9878","10.0739","8.2801","6.3809","5.9004","10.2334","6.2888","6.6371","12.7725","8.0413","8.254","8.7872","10.4889","6.4453","10.4059","5.7874","6.8435","9.4223","8.5978","7.0784","5.6403","7.1282","6.8779","13.6043","8.6602","6.0835","10.1823","8.5744","5.6858","7.6141","6.5576","10.7567","12.4888","11.1564","13.3179","11.3105","7.0706","8.4883","9.3762","5.8819","7.4767","6.3855","11.4132","7.5582","12.5816","6.3093","5.5273","8.81","13.3271","9.8297","11.7001","9.3741","14.8692","12.1012","8.177","5.7296","5.4882","8.1181","10.2848","8.0438","8.7793","8.9413","10.3951","6.9559","7.6692","7.6473","6.176","8.5632","9.6068","10.3912","8.6136","6.3388","11.4627","10.9468","9.7958","8.6593","7.5608","6.1965","11.5883","6.9628","8.1105","7.836","7.4225","11.5718","10.8013","9.6477","11.1422","9.794","12.0035","10.5467","8.9094","9.096","7.6782","12.842","12.3843","12.1643","9.8162","6.3276","7.7383","5.6267","6.0105","9.3647","7.7719","11.2136","7.6012","10.2006","10.2437","14.312","5.7379","5.8773","9.9141","12.2671","8.8535","12.083","12.3995","9.7969","8.4166","10.9511","12.847","8.1054","9.2259","7.2837","8.5425","8.0099","6.9592","7.5872","8.8058","12.3921","7.9869","7.1542","9.7388","10.6942","6.5334","10.9459","10.646","10.562","10.6605","5.8809","9.0522","10.1882","8.8871","9.4051","10.7176","10.9495","7.8236","11.6427","11.7822","12.6591","8.943","5.9866","9.0147","14.4405","10.7019","6.9263","8.4623","10.9635","13.4108","7.0934"
"ASTHMA.GSM999871","12.1262","10.9283","10.548","5.7268","10.7236","7.5224","10.8299","11.0418","13.347","9.7449","10.0849","9.146","9.0816","8.8019","8.1809","13.2747","8.3214","7.4976","5.8211","5.9279","7.156","6.2042","9.5841","9.6112","10.5999","5.7401","7.5676","6.0428","9.3319","6.3672","11.3119","9.3096","8.235","6.0555","11.0213","8.8465","14.312","13.1242","6.3229","15.0091","10.4289","10.0013","7.3532","9.7739","12.7482","11.012","7.1502","11.2325","9.5469","9.1885","10.7119","11.5148","13.6074","11.5795","7.4976","6.3897","6.1189","10.3076","8.6195","5.3305","5.8425","10.4489","6.9687","7.6508","13.0829","8.7163","7.5728","9.8878","11.0361","6.1308","9.6173","7.1019","6.7571","10.2033","8.4062","7.4137","5.5626","8.4015","6.4624","13.0929","9.2576","6.6481","10.2026","6.5988","5.7103","7.8714","7.1275","10.274","11.3982","11.4779","13.715","11.8029","6.1434","8.6721","9.0761","6.5896","6.7521","6.2528","11.2342","9.5122","12.6256","5.8472","5.6655","9.063","11.7435","10.1772","12.2189","9.4951","14.8666","12.0486","7.4009","5.8437","5.5295","7.9492","6.8029","5.6375","5.6105","8.2283","9.5106","8.2361","7.2115","8.2956","6.0513","9.9459","10.4403","10.7788","9.3871","7.1845","11.9221","10.1875","10.5418","7.8556","7.7347","6.5952","11.6269","7.4287","9.1114","7.6353","7.4093","11.0524","11.0718","11.088","11.8062","10.3913","12.7353","11.6029","10.2034","9.5739","6.5254","13.1396","12.6084","12.2582","9.1766","5.9964","8.8263","5.6609","7.0578","10.463","8.0158","11.4906","7.4605","9.8977","11.1105","14.45","6.8263","5.8031","10.2871","12.1549","9.6498","11.1892","12.4524","10.289","8.7498","11.4942","12.7495","8.5838","8.2412","8.1625","9.4665","8.7398","6.6504","9.3019","10.0726","13.3803","8.6614","7.4655","10.5987","10.9979","7.8606","10.024","11.2398","10.1681","9.8197","6.22","9.6492","9.7245","8.974","10.0659","11.4569","12.1658","9.1145","10.5642","12.075","12.5962","9.124","6.1186","8.4304","14.4634","10.7903","7.1942","8.2017","10.8103","13.6116","6.9932"
"ASTHMA.GSM999872","12.2258","10.4012","10.36","5.6004","9.7415","7.7026","11.2525","9.2103","11.9544","9.7005","8.9223","6.2161","8.4649","9.047","8.181","14.175","7.4887","6.511","5.768","6.8391","6.6059","8.0474","9.8246","8.7344","10.0734","5.5521","7.31","6.3027","8.2381","8.0736","10.821","7.8932","7.7451","6.1409","10.066","8.4937","13.6983","12.9434","6.6747","14.465","9.5074","10.7795","6.4756","8.8998","12.1294","10.0001","6.9316","9.828","9.0797","10.2479","10.0113","11.8877","12.9848","11.6257","6.8452","6.1826","5.901","10.1416","7.7025","5.276","6.0664","9.8858","6.3967","6.5337","13.0739","8.5394","8.2438","9.3203","11.0721","5.939","10.5672","6.7482","6.1304","10.3181","9.3546","7.0422","5.5823","7.4977","6.4555","11.9539","9.1021","6.0081","10.7814","8.8691","5.7899","7.4397","6.7767","10.3366","11.2133","10.9006","13.5071","11.5866","7.2354","8.7573","8.9007","5.9551","8.3178","7.584","11.1047","7.3806","12.4727","7.3692","5.4836","8.9241","12.2165","9.37","11.7377","9.8376","14.4114","12.7687","7.385","5.6412","5.6242","7.5895","6.6184","5.9521","5.5237","8.1934","10.81","7.0613","7.337","7.3367","6.3065","9.7151","10.6646","9.8995","9.0603","6.45","12.6338","9.8849","10.0815","8.0612","7.3162","6.3641","11.8809","7.2069","8.0132","8.0317","7.6204","11.0421","10.6182","9.8024","11.9797","10.2899","12.4379","10.6095","8.8063","9.3337","7.7774","12.7598","12.0064","13.2948","8.6092","6.7899","7.9119","5.5429","8.2336","8.5287","7.9874","11.2747","8.5065","9.36","11.6261","14.1097","6.0456","5.7371","10.2193","12.3379","8.7406","10.0845","12.0033","9.4125","8.2363","10.8895","12.3354","7.7256","7.9357","6.8322","8.8248","8.8256","6.3174","8.1446","8.5783","13.0374","7.2039","7.7163","9.4657","11.3813","6.7115","10.8502","11.0596","10.3265","9.8983","5.7205","8.8409","10.1017","9.5357","9.1887","10.9445","11.3142","8.4534","11.3625","11.7281","12.7196","8.9668","5.9273","8.4533","14.3145","10.1988","7.0626","8.9997","9.9666","13.8246","6.8939"
"ASTHMA.GSM999875","11.0386","10.233","10.4494","5.384","9.9929","7.9665","11.5594","8.0765","12.7358","9.5423","11.3653","6.108","7.9134","9.2015","8.4088","13.0223","7.6413","7.2052","5.746","7.0984","7.6885","8.1505","10.7458","9.0545","9.338","5.5294","7.395","6.2385","7.6395","7.3196","9.4522","7.3549","7.9875","6.4805","9.265","7.1227","14.3642","12.3579","7.2965","14.9904","10.1702","10.1896","7.1246","9.7379","11.9872","9.8904","7.0022","10.2264","8.2126","9.7244","10.1932","11.2349","14.0414","10.1307","6.1812","6.1429","6.0216","9.9564","7.7006","6.7499","5.7186","9.0433","6.2775","6.1539","13.6319","8.9731","7.9426","7.9357","11.2292","6.2783","9.8235","5.931","6.2966","9.6462","7.9894","7.5843","5.7295","6.7712","6.2323","11.5677","8.2683","6.2659","11.474","8.8491","5.531","7.6689","6.7813","10.5762","11.1506","10.6999","13.7947","11.6736","7.0152","8.094","9.4357","6.4013","7.9617","6.489","12.3122","6.258","12.114","6.398","5.5095","9.4179","11.3133","11.1045","11.2184","8.1351","13.3127","11.269","7.6431","5.5866","5.5955","7.4269","11.4856","8.0688","10.2754","8.3913","9.3023","6.0589","8.0689","8.2469","6.2842","8.8551","8.6543","9.6824","8.507","5.8672","10.8862","8.9917","10.8036","6.6597","7.3813","6.0959","13.1301","7.2381","7.7454","8.0748","10.4446","10.6173","11.2665","11.2317","9.8551","9.3451","10.8093","12.0533","9.2893","9.2576","7.8816","13.0225","12.2621","11.7909","8.2701","6.3683","8.0371","5.6325","6.272","11.2291","6.9779","11.2763","7.7669","9.0556","10.5313","13.1965","5.9059","6.0233","9.6149","12.1019","8.2122","12.8479","10.8651","9.1802","9.0198","10.4377","14.2847","6.6131","8.3461","6.0203","7.5996","8.1447","6.1238","8.1772","7.4592","12.0464","7.5312","7.002","9.0444","10.2394","5.9308","10.0133","9.6404","9.8742","9.8586","5.9685","7.7418","10.1459","9.2242","8.4764","10.7589","12.9984","10.6248","11.1785","12.8244","12.8401","9.4613","6.2344","8.6746","14.726","9.2115","7.59","9.1223","11.2911","14.1605","6.7759"
"ASTHMA.GSM999876","11.738","10.4039","10.6854","5.42","9.0316","7.936","11.4836","8.2082","12.7634","9.4327","11.1211","6.0857","8.0231","9.2485","8.4022","12.8883","7.5589","6.7243","5.7581","7.0245","7.1984","8.4278","10.7566","8.7524","9.1982","5.6043","7.1947","6.3717","7.8388","8.8273","9.858","6.7245","8.6726","6.3737","9.133","7.2919","13.9767","12.6678","7.2172","15.0915","10.2471","10.3757","6.6498","8.6054","11.9579","9.5824","7.4749","10.2521","8.0975","9.734","9.8846","11.5221","13.7389","9.9961","6.4214","6.0774","5.8944","9.7753","7.5003","7.2821","6.1338","8.8961","6.0478","6.5551","13.6161","9.3469","8.0552","7.9817","11.7785","5.9916","10.8697","6.021","6.1699","8.9425","8.4573","6.8867","5.6676","6.885","6.2166","11.6724","8.3087","6.0134","10.9725","9.5474","5.9025","7.5012","7.6008","10.4192","11.1897","10.9011","13.8142","11.379","7.1164","8.0255","9.6857","6.169","8.0742","6.9445","11.7893","6.5354","12.2151","6.5999","5.5162","9.2736","11.1062","10.9087","11.2521","8.2859","13.426","11.7202","7.7946","5.6364","5.586","7.8117","11.9283","8.3454","10.7107","8.166","9.363","6.284","7.5515","8.2952","6.1106","8.9345","8.7608","9.43","8.5268","5.8097","11.1763","9.9689","10.9508","7.3721","7.0061","6.083","12.6981","7.789","7.3692","7.9187","7.8937","10.3743","11.2788","10.7189","9.9329","9.4779","10.7077","11.8874","8.6443","9.3689","8.0304","13.0644","12.0955","11.3903","8.0576","6.1706","7.579","5.6061","7.0152","11.0999","7.0247","10.9604","6.8279","8.9009","10.6525","13.6007","5.6531","6.0834","9.5967","12.022","7.9083","13.2586","10.7987","9.1089","8.7426","10.2506","13.6845","6.6181","7.7408","6.1097","7.4587","8.2547","6.0299","7.2203","7.168","11.9674","7.0292","7.5445","9.193","10.9914","5.8938","10.8133","9.6334","10.0915","9.7383","6.0505","8.1806","10.4001","9.0899","8.6615","10.405","12.6542","9.6798","11.6335","12.4362","12.6185","8.9614","6.4584","9.0918","14.4967","9.4321","7.567","10.0843","11.1717","14.2215","6.0823"
"ASTHMA.GSM999877","11.8276","9.2755","9.6815","5.8283","10.5035","8.0181","11.2835","9.0381","12.7728","9.2178","10.6887","6.8821","7.5361","9.2674","8.2029","13.8929","7.0162","6.5359","5.6781","5.9018","7.3038","7.0626","9.5443","9.1077","9.8313","5.7744","8.5273","5.928","7.8527","6.3818","10.0934","9.3887","7.7067","5.8807","9.9534","8.6618","14.1207","12.9031","7.607","15.0786","9.3092","10.5861","6.2268","9.617","11.6301","10.6584","6.8245","10.3777","8.8591","9.9139","11.4041","11.0223","14.0285","10.2549","7.8839","6.3116","5.8641","9.6378","8.3621","5.4992","5.678","9.8531","6.2781","6.175","13.4121","8.4949","7.4885","9.8642","11.4417","6.0803","9.0994","7.726","6.4188","9.9524","8.9726","6.4639","5.6781","7.4931","6.0706","11.6405","8.9546","6.1928","11.1351","7.3522","5.9034","7.4945","6.3407","9.4578","11.7277","11.4058","13.8754","11.0276","6.9486","9.4705","8.8918","7.5659","5.7204","6.2426","11.7935","8.3998","12.0798","5.6284","5.5758","9.3746","11.4663","11.0418","12.2182","9.2522","14.715","11.3158","7.0366","6.059","5.6242","8.0041","6.3961","5.7166","5.3289","7.824","9.8989","6.883","6.1635","7.4871","5.8201","10.1461","9.75","9.4545","8.7032","6.7461","12.0655","11.1198","11.0125","7.8472","7.2897","6.4895","11.7572","6.5936","7.9063","7.5507","8.6125","10.3698","11.4576","10.56","11.1976","10.1615","11.6631","11.4319","9.2654","8.2358","7.3318","13.3554","12.3889","10.909","8.4259","6.34","8.88","5.534","7.2699","10.4553","6.8794","11.5705","7.9144","8.8506","10.9157","14.1531","6.1978","5.7249","10.2433","12.2308","9.1239","12.1846","12.236","9.7078","7.7578","10.706","13.7195","7.3581","9.558","7.3164","8.6377","8.3412","6.005","8.7329","8.2356","13.1759","8.2095","7.9457","9.5863","11.5705","7.2679","9.9344","11.5509","10.3554","9.608","6.2568","9.4754","9.2014","8.7113","9.0296","10.9006","11.7528","9.3635","11.1296","11.7512","12.8656","8.8248","6.1887","8.971","14.6343","9.8009","6.9441","7.3647","11.1817","13.8958","7.1811"
"ASTHMA.GSM999878","11.6184","9.4101","10.2405","5.5425","11.0347","7.957","12.2052","8.8787","11.8978","9.4406","9.9798","6.7189","8.6557","8.5042","8.0222","13.1961","7.4453","6.8668","5.7805","6.2278","6.7573","8.2006","8.812","8.8027","10.078","5.6188","6.9018","6.3283","8.2693","7.084","9.8218","8.4351","7.9588","6.2388","9.345","7.7619","13.3973","13.5668","7.2578","14.6896","9.8033","11.3605","6.4918","9.5486","11.4961","8.7765","7.2629","12.3425","8.2717","10.6027","11.7399","11.0661","13.5123","11.0166","7.6221","6.5391","6.0333","10.2767","7.4123","5.3308","5.593","10.0724","7.0741","6.4783","12.7865","9.0444","7.968","9.7281","10.9878","5.9871","9.3741","7.5375","6.4418","10.1841","8.717","7.1704","5.7629","7.3508","5.9386","13.1718","9.1119","5.7922","11.8706","8.0874","6.0246","7.4496","7.3197","9.195","10.4865","11.0203","13.5294","10.8232","7.463","8.8278","8.8624","6.544","6.3393","6.1393","12.0629","7.179","12.209","7.1457","5.7017","9.2587","12.6293","10.5537","11.8982","8.5642","14.7781","12.7161","6.9323","5.8562","5.7795","8.3418","6.5606","5.8935","5.5754","7.892","10.6355","6.862","7.7193","7.8392","5.8533","9.7673","10.0793","9.6445","8.8658","6.0944","11.8156","10.3912","10.4478","7.8082","7.5467","6.216","12.0387","7.4213","7.3925","7.5623","10.8221","10.4017","11.0232","9.957","11.0926","9.8302","12.0516","10.5722","9.1626","7.6104","8.6185","13.0182","12.0204","12.0783","7.6532","6.1535","8.3103","5.5324","6.9892","9.6339","8.1535","11.2313","6.7932","7.5803","10.5172","13.8716","5.9452","5.7066","10.0875","11.7694","8.7291","11.728","13.2995","9.385","7.636","10.1391","12.8865","6.9306","9.5564","6.4836","7.939","8.9763","6.4517","7.9226","7.6036","12.8243","6.8592","7.3679","9.2638","10.9367","6.1854","9.7098","11.0225","9.6102","9.3831","5.9916","8.5488","9.9524","9.4949","9.418","10.5487","10.427","8.8409","11.7281","11.6205","12.6234","9.7006","6.0115","8.6356","14.3384","9.519","6.8464","8.5572","11.0088","13.5901","6.4032"
